Stock_No,Name,Cost,Retail_Price,Quantity,Barcodes,Tags,Taxes,Tax_Exempt,Description,Enable_Decimal,Enable_Open_Price,Disable_Discount,Disable_Inventory,Supplier_Name,Supplier_List,Category_Name,Subcategory_Name,Status
28435,58660 Dm Spag Sce Fil 2/900g-P,113.09,118.75,-10,4.80E+12,"NOODLE, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28437,58658 Dm Spag Sce 2+1/500g-P,0,117.85,0,4.80E+12,"NOODLE, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28439,Nissin Wafer Choco 20/12g-P,0,51.45,0,4.81E+12,"SNACKS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28440,Sky Flakes Reg 10/25g-P (Bbap),0,58.4,-112,7.51E+11,"SNACKS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28442,Ufc Spaghetti Sauce 250g,0,27.15,-14,14285002413,"NOODLE, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28444,Bear Brand Milk W/ Iron 1.4kg,504.76,530,-103,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28446,Angel Kremdsada 2/410ml-P(Save 10),0,109.95,0,7.48E+11,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28448,Angel Coffee Creamer 2/200g-P,0,65.4,0,7.48E+11,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28450,Empress Shmp Smooth&Shiny P 21ml,0,4.95,0,4.81E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28452,Empress Shmp Long&Healthy G 21ml,0,4.95,0,4.81E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28454,66641 Piattos Cheese Spicy 40g,12.52,13.15,-374,4.80E+12,"SNACKS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28456,66642 Piattos Cheese Spicy 85g,28.68,30.1,-35,4.80E+12,"SNACKS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28458,7887presto N.Bites Choco Pnut 32g,7.5,8,-511,4.80E+12,"SNACKS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28460,7888presto N.Bites Pnut Buttr 32g,7.5,7.85,-649,4.80E+12,"SNACKS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28462,Gatorade Tropcl Frt Pet 6/500ml-P,203.89,214.1,-29,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28464,Gatorade Blue Bolt Pet 6/500ml-P,203.89,214.1,-164,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28466,Gatorade Gmix 6/500ml-P,0,214.05,0,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28468,Mountain Dew Incan(Sleek) 6/330ml-P,0,160.8,0,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28470,Pepsi Reg In Can(Sleek) 6/330ml-P,0,162.25,0,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28472,Csk Cond 3krtn Ult H.Defg 11+1/10ml,0,71.95,0,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28474,Csk Cond 3krtn Ult Strt P 6/10m-P,0,39,0,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28478,Csk Cond 3krtn Ultrpr&Shn G 2/170-P,0,290.2,0,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28480,Csk Tmnt Krtn Damage Rpr G 18ml,5.6,5.9,-2964,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28482,Csk Tmnt Krtn Rebond Strt P 18ml,0,5.85,-402,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28484,58645dm Frty Mnchstrs Str 10/26-P,0,57.25,0,4.80E+12,FOOD,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28486,58644dm Frty Mnchstrs Org10/26-P,0,57.25,0,4.80E+12,FOOD,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28488,Dm Mr Milk Yoghurt Strwbrry6/100m-P,0,53,0,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28490,58675dm Ktchp Prto Prtnrs Org 1S-P,0,73.75,0,4.80E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28492,58676dm Ktchp Prto Prtnrs Swt 1S-P,0,73.75,0,4.80E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28494,Dm Mr Milk Yoghurt Mango 6/100ml-P,0,47.75,0,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28496,2437 Gt Cof Choco Twn 20+3/50g-P,217.6,228.5,-36,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28498,Knr Cubes Shrimp Pantry 2/60g-P,65.7,69,-18,4.80E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28500,Kopiko Coffee Brown Twin 12/53g-P,119.5,125.5,-676,9.00E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28502,Lactum 3+ Preschool Milk Pln 3.2kg,0,1629.7,0,8.71E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28504,2653 Refresh Mneral Water 24/350ml-P,0,150.25,0,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
