Stock_No,Name,Cost,Retail_Price,Quantity,Barcodes,Tags,Taxes,Tax_Exempt,Description,Enable_Decimal,Enable_Open_Price,Disable_Discount,Disable_Inventory,Supplier_Name,Supplier_List,Category_Name,Subcategory_Name,Status
4.81E+12,Hair Blacken Shampoo,50,60,-24,,"OTHERS, NON-FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,HapiKaongGreen 340g,0,42,0,,"CONDIMENTS, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Hapimi Bihon 227g,21.3,22.5,-226,,"NOODLES, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Hapimi Canton 400G,45.5,48.75,-18,,"NOODLES, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Hapimi Canton 500g,48.5,52,-1,,"NOODLES, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Hapimi Canton150g,20,22,-38,,"NOODLES, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Hapimi Dried Miki 200g,21.5,25,0,,"NOODLES, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Hapimi dried noodles 200g.,21.5,23,-260,,"NOODLES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Hapimi Fresh Noodles  5kgs,160,185,-1,,"NOODLES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Hapimi Fresh Noodles 500g,20.8,23,-48,,"NOODLES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Hapimi Iodized Salt 250g,8,8.8,-308,,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Hapimi Iodized Salt 500g,14,15.5,-245,,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Hapimi Misua 200g,19.6,20.6,-73,,"NOODLES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Hapimi Misua 50g,9.25,9.85,570,,"NOODLES, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
